;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;  TAXA SUB ;TAXA ZERO; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRACOTA FEIRA DE SANTANA - FSA - AGOSTO;;;;;;;;;;;;;;;;VENDEDOR;R0;R1;R2;R3;R4;R5;R150;R100;R75;R50;SPF ;RECEITA;;;BANCO VOLKSWAGEN RETORNOS;;;;;;;;;;;;
;;CLIENTE;CPF/CNPJ;BANCO;PJ/PF;VENDEDOR;R;SPF;VAL. VEÍCULO;ENTRADA;FINANCIAMENTO;RET. SPF; RET. RENTABILIDADE;RENTAB. TOTAL;MOTIVO;;Homer Simpson;0;0;0;2;0;0;0;1;0;0;0;R$ 5.197,95;3;;ID_TABELAS;NOME_DA_TABELA;;RETORNO;;;;;;;;;
;1;Ana Beatriz Moura;000.000.001-11;SANTANDER;CPF;Homer Simpson;R3;SEM SPF;R$ 190.600,00;R$ 90.550,00;R$ 100.050,00;R$ 0,00;R$ 2.412,05;R$ 2.412,05;TAXA ZERO;;Marge Simpson;0;2;0;1;0;0;0;0;1;0;1;R$ 9.874,47;4;;R50;TABELA_50;;5,40%;;;;;;;;;
;2;Bruno Henrique Lima;000.000.002-12;SANTANDER;CPF;Bart Simpson;R4;SEM SPF;R$ 216.350,00;R$ 107.950,00;R$ 108.400,00;R$ 0,00;R$ 2.026,63;R$ 2.026,63;MOVE BRASIL;;Bart Simpson;2;1;0;0;0;0;0;0;0;0;3;R$ 5.818,26;3;;R75;TABELA_75;;8,10%;;;;;;;;;
;3;Camila Ferreira Alves;000.000.003-13;SANTANDER;CPF;Bart Simpson;R1;COM SPF;R$ 118.000,00;R$ 58.550,00;R$ 59.450,00;R$ 1.427,00;R$ 1.084,74;R$ 2.511,74;TAXA SUB;;Lisa Simpson;0;0;1;1;0;1;0;0;0;0;2;R$ 10.023,68;3;;R100;TABELA_100;;10,80%;;;;;;;;;
;4;Diego Martins Rocha;000.000.004-14;SANTANDER;CPF;Marge Simpson;R1;SEM SPF;R$ 102.600,00;R$ 55.900,00;R$ 46.700,00;R$ 0,00;R$ 958,41;R$ 958,41;TAXA ZERO;;Maggie Simpson;2;0;0;0;0;2;0;0;0;1;2;R$ 8.733,96;5;;R150;TABELA_150;;16,20%;;;;;;;;;
;5;Eduardo Vinícius Santos;000.000.005-15;VOLKSWAGEN;CPF;Marge Simpson;R2;SEM SPF;R$ 202.350,00;R$ 57.000,00;R$ 145.350,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;TOTAL;4;3;1;4;0;3;0;1;1;1;8;R$ 39.648,31;18;;;;;;;;;;;;;;
;6;Fernanda Oliveira Costa;000.000.006-16;SANTANDER;CPF;Marge Simpson;R3;COM SPF;R$ 114.750,00;R$ 43.150,00;R$ 71.600,00;R$ 1.718,00;R$ 1.601,32;R$ 3.319,32;TAXA ZERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Gabriel Henrique Souza;000.000.007-17;SANTANDER;CPF;Maggie Simpson;R2;COM SPF;R$ 143.800,00;R$ 46.450,00;R$ 97.350,00;R$ 2.336,00;R$ 2.096,46;R$ 4.432,46;MOVE BRASIL;;;;;;;;;;;;;;;;;BANCO SANTANDER RETORNOS;;;;;;;;;;;;
;8;Helena Maria Nunes;000.000.008-18;VOLKSWAGEN;CPF;Marge Simpson;R4;SEM SPF;R$ 168.000,00;R$ 81.150,00;R$ 86.850,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;;;;;;;;;;;;;;;;ID_TABELAS;NOME_DA_TABELA;;RETORNO;;;;;;;;;
;9;Isabela Cristina Ramos;000.000.009-19;SANTANDER;CPF;Homer Simpson;R2;SEM SPF;R$ 127.800,00;R$ 46.450,00;R$ 81.350,00;R$ 0,00;R$ 1.839,53;R$ 1.839,53;MOVE BRASIL;;;;;;;;;;;;;;;;;R1;TABELA_R1;;1,20%;;;;;;;;;
;10;João Pedro Almeida;000.000.010-20;SANTANDER;CPF;Lisa Simpson;R2;SEM SPF;R$ 200.150,00;R$ 68.900,00;R$ 131.250,00;R$ 0,00;R$ 2.650,31;R$ 2.650,31;TAXA SUB;;;;;;;;;;;;;;;;;R2;TABELA_R2;;2,40%;;;;;;;;;
