Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44
;;;;;;;;;;;;;  TAXA SUB ;TAXA ZERO; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRACOTA FEIRA DE SANTANA - FSA - JULHO;;;;;;;;;;;;;;;;VENDEDOR;R0;R1;R2;R3;R4;R5;R150;R100;R75;R50;SPF ;RECEITA;;;BANCO VOLKSWAGEN RETORNOS;;;;;;;;;;;;
;;CLIENTE;CPF/CNPJ;BANCO;PJ/PF;VENDEDOR;R;SPF;VAL. VEÍCULO;ENTRADA;FINANCIAMENTO;RET. SPF; RET. RENTABILIDADE;RENTAB. TOTAL;MOTIVO;;Homer Simpson;0;0;0;2;0;0;0;1;0;0;0;R$ 5.197,95;3;;ID_TABELAS;NOME_DA_TABELA;;RETORNO;;;;;;;;;
;1;Ana Beatriz Moura;000.000.001-11;SANTANDER;CPF;Marge Simpson;R3;SEM SPF;R$ 180.950,00;R$ 99.200,00;R$ 81.750,00;R$ 0,00;R$ 1.518,46;R$ 1.518,46;MOVE BRASIL;;Marge Simpson;0;2;0;1;0;0;0;0;1;0;1;R$ 9.874,47;4;;R50;TABELA_50;;5,40%;;;;;;;;;
;2;Bruno Henrique Lima;000.000.002-12;SANTANDER;CPF;Homer Simpson;R3;COM SPF;R$ 216.100,00;R$ 105.200,00;R$ 110.900,00;R$ 2.662,00;R$ 2.396,39;R$ 5.058,39;MOVE BRASIL;;Bart Simpson;2;1;0;0;0;0;0;0;0;0;3;R$ 5.818,26;3;;R75;TABELA_75;;8,10%;;;;;;;;;
;3;Camila Ferreira Alves;000.000.003-13;SANTANDER;CPF;Lisa Simpson;R5;SEM SPF;R$ 109.250,00;R$ 32.400,00;R$ 76.850,00;R$ 0,00;R$ 1.379,52;R$ 1.379,52;TAXA ZERO;;Lisa Simpson;0;0;1;1;0;1;0;0;0;0;2;R$ 10.023,68;3;;R100;TABELA_100;;10,80%;;;;;;;;;
;4;Diego Martins Rocha;000.000.004-14;VOLKSWAGEN;CPF;Bart Simpson;R50;SEM SPF;R$ 154.000,00;R$ 52.000,00;R$ 102.000,00;R$ 0,00;R$ 550,80;R$ 550,80;MOVE BRASIL;;Maggie Simpson;2;0;0;0;0;2;0;0;0;1;2;R$ 8.733,96;5;;R150;TABELA_150;;16,20%;;;;;;;;;
;5;Eduardo Vinícius Santos;000.000.005-15;VOLKSWAGEN;CPF;Bart Simpson;R2;SEM SPF;R$ 194.700,00;R$ 97.350,00;R$ 97.350,00;R$ 0,00;R$ 0,00;R$ 0,00;MOVE BRASIL;;TOTAL;4;3;1;4;0;3;0;1;1;1;8;R$ 39.648,31;18;;;;;;;;;;;;;;
;6;Fernanda Oliveira Costa;000.000.006-16;SANTANDER;CPF;Maggie Simpson;R2;SEM SPF;R$ 184.450,00;R$ 101.150,00;R$ 83.300,00;R$ 0,00;R$ 1.939,81;R$ 1.939,81;TAXA ZERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Gabriel Henrique Souza;000.000.007-17;SANTANDER;CPF;Marge Simpson;R2;SEM SPF;R$ 217.600,00;R$ 61.450,00;R$ 156.150,00;R$ 0,00;R$ 3.786,79;R$ 3.786,79;MOVE BRASIL;;;;;;;;;;;;;;;;;BANCO SANTANDER RETORNOS;;;;;;;;;;;;
;8;Helena Maria Nunes;000.000.008-18;SANTANDER;CPF;Homer Simpson;R0;COM SPF;R$ 99.150,00;R$ 28.750,00;R$ 70.400,00;R$ 1.690,00;R$ 0,00;R$ 1.690,00;TAXA SUB;;;;;;;;;;;;;;;;;ID_TABELAS;NOME_DA_TABELA;;RETORNO;;;;;;;;;
;9;Isabela Cristina Ramos;000.000.009-19;SANTANDER;CPF;Homer Simpson;R3;COM SPF;R$ 146.400,00;R$ 43.100,00;R$ 103.300,00;R$ 2.479,00;R$ 1.852,58;R$ 4.331,58;TAXA SUB;;;;;;;;;;;;;;;;;R1;TABELA_R1;;1,20%;;;;;;;;;
;10;João Pedro Almeida;000.000.010-20;SANTANDER;CPF;Maggie Simpson;R3;SEM SPF;R$ 99.900,00;R$ 36.300,00;R$ 63.600,00;R$ 0,00;R$ 1.112,24;R$ 1.112,24;TAXA SUB;;;;;;;;;;;;;;;;;R2;TABELA_R2;;2,40%;;;;;;;;;
;11;Larissa Vitória Silva;000.000.011-21;SANTANDER;CPF;Bart Simpson;R100;SEM SPF;R$ 154.250,00;R$ 45.450,00;R$ 108.800,00;R$ 0,00;R$ 1.175,04;R$ 1.175,04;MOVE BRASIL;;;;;;;;;;;;;;;;;R3;TABELA_R3;;3,60%;;;;;;;;;
