Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44
;;;;;;;;;;;;;  TAXA SUB ;TAXA ZERO; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRACOTA FEIRA DE SANTANA - FSA - MAIO;;;;;;;;;;;;;;;;VENDEDOR;R0;R1;R2;R3;R4;R5;R150;R100;R75;R50;SPF ;RECEITA;;;BANCO VOLKSWAGEN RETORNOS;;;;;;;;;;;;
;;CLIENTE;CPF/CNPJ;BANCO;PJ/PF;VENDEDOR;R;SPF;VAL. VEÍCULO;ENTRADA;FINANCIAMENTO;RET. SPF; RET. RENTABILIDADE;RENTAB. TOTAL;MOTIVO;;Homer Simpson;0;0;0;2;0;0;0;1;0;0;0;R$ 5.197,95;3;;ID_TABELAS;NOME_DA_TABELA;;RETORNO;;;;;;;;;
;1;Ana Beatriz Moura;000.000.001-11;VOLKSWAGEN;CPF;Homer Simpson;R1;COM SPF;R$ 202.700,00;R$ 56.450,00;R$ 146.250,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;Marge Simpson;0;2;0;1;0;0;0;0;1;0;1;R$ 9.874,47;4;;R50;TABELA_50;;5,40%;;;;;;;;;
;2;Bruno Henrique Lima;000.000.002-12;SANTANDER;CPF;Bart Simpson;R0;SEM SPF;R$ 204.800,00;R$ 87.100,00;R$ 117.700,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;Bart Simpson;2;1;0;0;0;0;0;0;0;0;3;R$ 5.818,26;3;;R75;TABELA_75;;8,10%;;;;;;;;;
;3;Camila Ferreira Alves;000.000.003-13;SANTANDER;CPF;Homer Simpson;R2;SEM SPF;R$ 105.650,00;R$ 46.550,00;R$ 59.100,00;R$ 0,00;R$ 1.399,91;R$ 1.399,91;TAXA ZERO;;Lisa Simpson;0;0;1;1;0;1;0;0;0;0;2;R$ 10.023,68;3;;R100;TABELA_100;;10,80%;;;;;;;;;
;4;Diego Martins Rocha;000.000.004-14;VOLKSWAGEN;CPF;Marge Simpson;R2;COM SPF;R$ 99.000,00;R$ 40.450,00;R$ 58.550,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;Maggie Simpson;2;0;0;0;0;2;0;0;0;1;2;R$ 8.733,96;5;;R150;TABELA_150;;16,20%;;;;;;;;;
;5;Eduardo Vinícius Santos;000.000.005-15;SANTANDER;CPF;Bart Simpson;R1;SEM SPF;R$ 209.200,00;R$ 64.450,00;R$ 144.750,00;R$ 0,00;R$ 2.218,05;R$ 2.218,05;TAXA SUB;;TOTAL;4;3;1;4;0;3;0;1;1;1;8;R$ 39.648,31;18;;;;;;;;;;;;;;
;6;Fernanda Oliveira Costa;000.000.006-16;VOLKSWAGEN;CPF;Marge Simpson;R1;COM SPF;R$ 172.450,00;R$ 66.150,00;R$ 106.300,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Gabriel Henrique Souza;000.000.007-17;SANTANDER;CPF;Maggie Simpson;R1;COM SPF;R$ 149.550,00;R$ 51.400,00;R$ 98.150,00;R$ 2.356,00;R$ 1.642,39;R$ 3.998,39;TAXA ZERO;;;;;;;;;;;;;;;;;BANCO SANTANDER RETORNOS;;;;;;;;;;;;
